Sequence Length,Sample Index,Export Time (s)
64,0,37.18688082695007
64,1,37.21663999557495
64,2,36.98833203315735
64,3,37.90150451660156
64,4,37.478766202926636
64,5,37.530531883239746
64,6,37.631552934646606
64,7,37.680296659469604
64,8,37.82480001449585
64,9,37.856154441833496
64,10,37.959234952926636
64,11,38.11856198310852
64,12,36.6601288318634
64,13,37.37922811508179
64,14,37.56575322151184
64,15,36.33801007270813
64,16,36.48248600959778
64,17,37.42326807975769
64,18,36.420544147491455
64,19,37.69667053222656
64,20,36.571383476257324
64,21,36.717987060546875
64,22,37.91215753555298
64,23,36.593820333480835
64,24,36.70919132232666
64,25,36.547548055648804
64,26,36.359578371047974
64,27,36.428974866867065
64,28,36.367398500442505
64,29,35.600337743759155
64,30,35.14688014984131
64,31,35.088162422180176
64,32,35.042280435562134
64,33,35.07175064086914
64,34,35.103700399398804
64,35,35.180336236953735
64,36,35.29633116722107
64,37,35.385212659835815
64,38,35.40048813819885
64,39,35.55264639854431
64,40,35.652281284332275
64,41,33.092379570007324
64,42,35.96057605743408
64,43,35.54287648200989
64,44,35.71504783630371
64,45,35.90260100364685
64,46,33.128615617752075
64,47,36.18420600891113
64,48,35.96744704246521
64,49,35.991249799728394
64,50,33.16527056694031
64,51,36.427570104599
64,52,36.25156259536743
64,53,33.18643045425415
64,54,36.65736794471741
64,55,36.284504413604736
64,56,33.05184555053711
64,57,36.80087900161743
64,58,36.55256962776184
64,59,33.16826295852661
64,60,37.050413846969604
64,61,33.19469714164734
64,62,37.208396911621094
64,63,36.675053119659424
64,64,33.12128782272339
64,65,37.14953303337097
64,66,33.237285137176514
64,67,37.233994007110596
64,68,33.07240581512451
64,69,37.35231924057007
64,70,33.06020498275757
64,71,37.58954620361328
64,72,37.102696895599365
64,73,33.15354323387146
64,74,37.36958932876587
64,75,33.27025532722473
64,76,37.631109952926636
64,77,33.15049076080322
64,78,37.647321462631226
64,79,33.30443501472473
64,80,33.066707372665405
64,81,38.29874348640442
64,82,33.1030490398407
64,83,37.90162944793701
64,84,33.044684410095215
64,85,38.034170627593994
64,86,33.07250356674194
64,87,38.05268692970276
64,88,33.131009101867676
64,89,38.14762568473816
64,90,33.19990062713623
64,91,38.35228610038757
64,92,33.17218351364136
64,93,32.97964835166931
64,94,38.83386278152466
64,95,33.1682448387146
64,96,38.47579908370972
64,97,33.13735485076904
64,98,38.53498911857605
64,99,33.22999906539917
128,0,33.016053199768066
128,1,39.09738874435425
128,2,33.14825510978699
128,3,38.77160692214966
128,4,33.14920735359192
128,5,32.99821877479553
128,6,39.35253834724426
128,7,33.24261021614075
128,8,39.11802053451538
128,9,33.406997203826904
128,10,33.091158390045166
128,11,39.56699800491333
128,12,33.27208423614502
128,13,33.11451172828674
128,14,39.92612886428833
128,15,33.25163650512695
128,16,33.111249685287476
128,17,39.97152280807495
128,18,33.44421625137329
128,19,33.17710542678833
128,20,40.30511665344238
128,21,33.27500104904175
128,22,33.14690065383911
128,23,40.3946795463562
128,24,33.32754135131836
128,25,39.976086378097534
128,26,33.53637456893921
128,27,33.115161180496216
128,28,32.86245131492615
128,29,40.94070076942444
128,30,33.29135584831238
128,31,33.18922281265259
128,32,40.8050811290741
128,33,33.25692963600159
128,34,32.96601343154907
128,35,40.774601221084595
128,36,33.432007789611816
128,37,33.30588340759277
128,38,40.91168737411499
128,39,33.4577419757843
128,40,33.105340003967285
128,41,41.11856460571289
128,42,33.55662250518799
128,43,33.420347929000854
128,44,33.1260929107666
128,45,41.520477056503296
128,46,33.487334966659546
128,47,33.179951906204224
128,48,41.40891194343567
